"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"40","Cambodia",2000,2000,2000,1000,1000,1000,2100,4300,4700,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,-3,-37,-12,-12,-12,-12,-12,-12,75,100,102,423,1243,1016,2835,2835,666
"41","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,60000,0,0,0,0,0,0,0,0,0,0,269,305,215,144,144,424,300,300,300,1500,500,500,500,500,500,500,1604,752,1213,1213,868,868,241,327,499,490,323,421,454,454,4227
"42","Canada",10033100,10348100,10717300,11824100,12535000,13939600,13876200,10727100,11556000,11517100,11397300,11961400,12674800,13233700,9834600,11600600,11633400,12519500,12447400,12753800,12894200,10975900,12500700,13554900,13365500,14149000,14740300,15007000,15740300,15407500,14865500,14185465,14034891,14739300,15247000,14535000,14261900,13493600,13992196,15121381,14113000,13889149,15080693,15122829,15137000,13067000,12397243,11399436,9398413,9834134,8862151,8232955,8436952,7829458,7527278,7356888,7175959,7299501,7403778,5878263,6728852,6233627
"43","Caribbean",52500,38100,44000,30700,27500,31800,35100,73600,75800,69100,81000,72000,80000,80200,81200,81300,74800,48900,72100,82200,67900,79700,84100,80000,95200,101000,105300,87300,98300,98553,95320,57826,56147,58375,62264,62400,63941,14292,13764,14462,15462,10985,12991,13126,13078,10387,9085,8586,20979,22670,27437,32762,50286.06,42094,38774,37747,32311,30745,41059,32032,34319.8,45442.03
"44","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,954,5290,2602,16494,0,0,0,0,0,520,520,520,520
"45","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,287,287,287,287,287,287,287,287,287,287,287,287,287,239,825,825,825,825,825
"46","Central America",249100,268300,296500,314100,339500,354300,394700,444500,500900,594900,564800,588300,646500,812100,688300,769400,746000,822800,869300,914600,980400,942400,981600,1060800,1172200,1139700,1228300,1368700,1081800,1072200,1054900,965813,971338,889940,1183907,928248,811904,1085437,1087936,1093328,1041175,1140752,1263847,1192463,1180571,1592458,1542946,1670503,1074558,1074179.1,1029338.5,1009178.35,1026569.11,1189614.15,1219255,1313467,1359632,1371554,1179630,1316658,1175973.09,1389670.81
"47","Central Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,946,946,4025,4396,3688,3088,800,-778,1782,10852,10639,10740,11573,17353,24472,25039,23394,16135,17582,19734,33458,33849,34297,36158,49394
"48","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,0,0,-248,-248,-248,-248,-248,-248,-235,-235,-235,-149,-224,-237,-224,9,9,9,9,9,9,9,9,9,9,9,9,9
"49","Chile",145200,146100,151600,179200,199700,311700,307900,223400,201500,252800,241800,230400,261300,255200,277600,278300,260200,227300,268100,347000,421600,208200,272300,346400,334000,284000,335500,429900,347300,310900,446800,360467,389132,370900,490480,502100,508200,471700,542400,770400,532000,564100,664000,810000,637000,847674,829000,928000,691550,741010,905937,774893,620944,555821,718475,512561,719726,693445,601760,979203,1010388.82,878148
"50","China",2349400,2461900,2565900,2626000,2735400,2883500,3007100,3257340,3328600,3490500,3406400,3086600,3143100,3149700,3413200,3444100,3731200,4346600,4746500,5191000,5323600,5155300,5884400,6593000,9530100,10497400,13502000,14854200,14081600,13978800,14885645,15950532,18084807,20968363,25655617,15987335,20006772,20665017,20473430,18614600,19272307,20904577,22238342,23573473,24731195,26855635,28031969,29711268,31085455,31403247,35035524,34678448,33050925,33909831.55,34870138,35593113,38523032,40168923,42745085,46673470,48150448.55,49440693.66
"51","China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,700,1600,800,600,200,500,1800,3000,4700,5700,4600,4900,4800,5600,6200,28534,37546,21286,14500,5800,4600,10600,1741,-559,1306,2721,2194,925,494,-1051,2823,1382,-4747,290,141,-357,-2361,-239,-767,-231,-3227,3717,11953,10760,8532.46,13037.46
"52","China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,81,0,0,0,215,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","China, mainland",2200000,2300000,2400000,2450000,2550000,2650000,2725000,2944940,2989200,3103200,3035600,2687400,2687400,2687400,2987400,2983500,3124200,3621200,4009600,4472900,4569500,4435500,5089000,5765000,8620000,9510000,12409000,13726000,12958100,12828100,13907500,15060472,17119000,19877729,24536400,14945200,18797500,19505100,19303100,17458200,18150400,19819940,21103760,22395035,23528268,25632031,26888257,28624265,29987575,30355293,33935165,33628511,32052729,32944911,33949304,34675453,37483720,39136288,41666766,45649471,47265878.55,48548419
